PONDERA;ORDRE_REVISADA;ANY;MES;DIA;HOR_INI;HOR_FIN;DURADA;ENQUESTADOR_CODI;ENQUESTADOR_SEXE;ENQUESTADOR_EDAT;ENQUESTADOR_ESTUDIS;ENQUESTADOR_NACIONALITAT;NUM_QUEST_CAMP;PROVINCIA;HABITAT;MUNICIPI;COMARCA;DOMICILI_PARTICULAR;LLENGUA_ENQUESTA;LLENGUA_SISTEMA;PADRO;CIUTADANIA;SEXE;EDAT;EDAT_GR;EDAT_CEO;LLOC_NAIX;HORA_PRIMERA_PREGUNTA;HORA_ULTIMA_PREGUNTA;TIP_TEL;SUPERVISADA;CIRCUIT_996_1;CIRCUIT_996_2;CIRCUIT_996_3;SIT_ECO_CAT;SIT_ECO_CAT_RETROSPECTIVA;SIT_ECO_CAT_PROSPECTIVA;SIT_ECO_ESP;SIT_ECO_PERSONAL;SIT_POL_CAT;SIT_POL_CAT_RETROSPECTIVA;SIT_POL_CAT_PROSPECTIVA;SIT_POL_ESP;CAT_ESP;INTERES_POL;INF_POL;CONFI_POL_CAT;VAL_GOV_CAT;CONFI_POL_ESP;VAL_GOV_ESP;INF_POL_TV;INF_POL_RADIO;INF_POL_PREMSA;INF_POL_INTERNET;INF_POL_AMICS;INF_POL_NO;INF_POL_NS;INF_POL_NC;SATIS_DEMOCRACIA;SIMPATIA_PARTIT;SIMPATIA_PARTIT_LITERALS;IDEOL_1_7;CAT_0_10;ESP_0_10;MONARQUIA_REPUBLICA;SIGNIFICA_ESP;DEFINICIO_CAT;DEFINICIO_CAT_LITERALS;AUTONOMIA_CAT;RELACIONS_CAT_ESP;ACTITUD_INDEPENDENCIA;DRET_DECIDIR;VOT_DRET_DEURE;ELECCIONS_IMPORTANCIA;SATISFACCIO_ELECCIONS_14F2021;PART_PARLAMENT;REC_PARLAMENT_VOT_DECISIO;REC_PARLAMENT_VOT;REC_PARLAMENT_VOT_LITERALS;REC_PARLAMENT_FERMESA;REC_PARLAMENT_CANDIDAT;REC_PARLAMENT_PARTIT;REC_PARLAMENT_INTERESSOS;REC_PARLAMENT_IDEES;REC_PARLAMENT_ACTUACIO;REC_PARLAMENT_ACTUACIO_2;REC_PARLAMENT_EVITAR;REC_PARLAMENT_ALTRES;REC_PARLAMENT_CAP;REC_PARLAMENT_NS;REC_PARLAMENT_NC;POST_PARLAMENT_DECISIO_RELACIO;POST_PARLAMENT_DECISIO_CRISI;POST_PARLAMENT_DECISIO_CORRUPCIO;POST_PARLAMENT_DECISIO_CANVI_CLIMATIC;POST_PARLAMENT_DECISIO_COVID;INT_PARLAMENT_VOT;INT_PARLAMENT_VOT_LITERALS;PART_PARLAMENT_ANTERIORS;REC_PARLAMENT_VOT_ANTERIORS;REC_PARLAMENT_VOT_ANTERIORS_LITERALS;INT_CONGRES_VOT;INT_CONGRES_VOT_LITERALS;PART_CONGRES;REC_CONGRES_VOT;REC_CONGRES_VOT_LITERALS;CONEIX_A_FERNANDEZ;VAL_A_FERNANDEZ;CONEIX_C_PUIGDEMONT;VAL_C_PUIGDEMONT;CONEIX_L_BORRAS;VAL_L_BORRAS;CONEIX_O_JUNQUERAS;VAL_O_JUNQUERAS;CONEIX_P_ARAGONES;VAL_P_ARAGONES;CONEIX_M_ICETA;VAL_M_ICETA;CONEIX_S_ILLA;VAL_S_ILLA;CONEIX_J_ALBIACH;VAL_J_ALBIACH;CONEIX_J_ASENS;VAL_J_ASENS;CONEIX_C_CARRIZOSA;VAL_C_CARRIZOSA;CONEIX_I_MARTIN_BLANCO;VAL_I_MARTIN_BLANCO;CONEIX_C_RIERA;VAL_C_RIERA;CONEIX_D_SABATER;VAL_D_SABATER;CONEIX_I_GARRIGA;VAL_I_GARRIGA;LLOC_NAIX_CCAA;ANY_ARRIBADA;LLOC_NAIX_PARE;LLOC_NAIX_PARE_CCAA;LLOC_NAIX_MARE;LLOC_NAIX_MARE_CCAA;LLOC_NAIX_AVIS;RELIGIO;RELIGIO_LITERALS;RELIGIO_FREQ;SIT_LAB;SIT_LAB_NO_ACTIU;SIT_LAB_ACTIU;SECTOR;ESTUDIS;ESTUDIS_LITERALS;ESTAT_CIVIL;FILLS;SENTIMENT_PERTINENCA;LLENGUA_PROPIA;LLENGUA_PRIMERA;CLASSE_SOCIAL_SUBJECTIVA_1_7;US_TELEFON_FIX;PERSONES_LLAR;INGRESSOS_1_6;DISCAPACITAT;TIPUS_DISCAPACITAT_1;TIPUS_DISCAPACITAT_2;TIPUS_DISCAPACITAT_3;TIPUS_DISCAPACITAT_4;DISCAPACITAT_LITERALS;E1;E2;E3;E4;E5;E6;SIMPATIA_PARTIT_R;REC_PARLAMENT_VOT_R;REC_PARLAMENT_VOT_CENS;REC_PARLAMENT_VOT_CENS_R;INT_PARLAMENT_VOT_R;REC_PARLAMENT_VOT_ANTERIORS_R;REC_PARLAMENT_VOT_ANTERIORS_CENS_R;INT_CONGRES_VOT_R;REC_CONGRES_VOT_R;REC_CONGRES_VOT_CENS;REC_CONGRES_VOT_CENS_R
1;1;2021;5; ; ; ;1146;831;Dona;41;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;De 2.001 a 10.000; ;Vallès Oriental;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Dona;68;65 anys o més;De 65 a 69 anys;Catalunya; ; ;Trucada a telèfon fix;No;"CONFI_POL_CAT + VAL_GOV_CAT després d’ INF_POL; CONFI_POL_ESP + VAL_GOV_ESP després de VAL_VIDA";ESP_0_10 + CAT_0_10;DEFINICIO_CAT + SIGNIFICA_ESP;No ho sap;Igual;Millorarà;Molt dolenta;Igual;Dolenta;Pitjor;Millorarà;Molt dolenta;Sóc un/a català/ana que viu a Catalunya;Molt;Bastant;No contesta;5;Cap confiança;2;No;No;Sí;No;No;No;No;No;Gens satisfet/a;No contesta;-;Esquerra;10 Màxim catalanisme;0 Mínim espanyolisme;República;Un Estat aliè, del qual el meu país no hauria de formar-ne part;Un país;un estat indepednent;Un nivell insuficient d'autonomia;Un estat independent;Sí;Molt d'acord;Ambdós;Ajuntament (municipals);5;Estic segur que vaig votar;Ho tenia decidit fa força temps;No contesta;-; ; ; ; ; ; ; ; ; ; ; ; ;9;No contesta;No contesta;10 Ho va tenir molt en compte;No contesta;No contesta;-;Estic segur que vaig votar;No contesta;-;No votaria;-;No vaig votar; ;-;Coneix;0 Molt malament;Coneix;10 Molt bé;Coneix;8;Coneix;8;Coneix;5;Coneix;0 Molt malament;Coneix;0 Molt malament;Coneix;5;Coneix;5;Coneix;0 Molt malament;Coneix;0 Molt malament;Coneix;10 Molt bé;Coneix;9;No coneix; ; ; ;Catalunya; ;Catalunya; ;Tres;Cap: Ateisme;-; ;No treballa;Jubilat/ada o pensionista (abans ha treballat); ;Sector públic (Administració pública+empreses públiques);Doctorat;-;Divorciat/ada;0;Només català/ana;Català (valencià / balear);Català (valencià / balear);Classe mitjana;Sí i en fa ús;Dos;Entre 3.001 i 4.000 euros;No; ; ; ; ;-;Sí;Mai;Bastant;Bastant;Molt;Bastant;No contesta;No contesta;No contesta;No contesta;No contesta;No contesta;No contesta;No votaria; ;No va votar;No va votar
1;2;2021;5; ; ; ;1292;831;Dona;41;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;De 150.001 a 1.000.000;SABADELL;Vallès Occidental;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Dona;58;De 50 a 64 anys;De 55 a 59 anys;Catalunya; ; ;Trucada a telèfon mòbil;Sí;"CONFI_POL_ESP + VAL_GOV_ESP després de l’INF_POL; CONFI_POL_CAT + VAL_GOV_CAT després de VAL_VIDA";ESP_0_10 + CAT_0_10;SIGNIFICA_ESP + DEFINICIO_CAT;Dolenta;Pitjor;Millorarà;Molt dolenta;Igual;Molt dolenta;Pitjor;Es quedarà igual;Molt dolenta;Sóc un/a català/ana que viu a Espanya;Gens;Gens;Cap confiança;0 Molt dolenta;Cap confiança;0 Molt dolenta;Sí;No;No;No;No;No;No;No;Poc satisfet/a;Cap;-;Centre-esquerra;5;5;Monarquia;Una nació de la qual em sento membre;Una regió;-;Un nivell insuficient d'autonomia;Una comunitat autònoma d'Espanya;No;Bastant d'acord;Un dret;Congrés dels diputats (generals);0 Molt insatisfet/a;No vaig votar perquè no podia (edat, malaltia...); ; ;-; ; ; ; ; ; ; ; ; ; ; ; ;0 No ho va tenir gens en compte;0 No ho va tenir gens en compte; 0 No ho va tenir gens en compte; 0 No ho va tenir gens en compte;0 No ho va tenir gens en compte;No votaria;-;No vaig votar perquè no podia (edat, malaltia...); ;-;No votaria;-;Vaig pensar en anar però no ho vaig fer; ;-;No coneix; ;Coneix;0 Molt malament;No coneix; ;Coneix;5;No coneix; ;Coneix;5;Coneix;5;No coneix; ;No coneix; ;No coneix; ;No coneix; ;No coneix; ;No coneix; ;No coneix; ; ; ;Altres comunitats autònomes;Regió de Múrcia;Catalunya; ;Quatre;Catolicisme;-;No, mai;No treballa;Jubilat/ada o pensionista (abans ha treballat); ;Sector públic (Administració pública+empreses públiques);Cicle formatiu de grau mitjà, FP1, Oficialia industrial o equivalent;-;Casat/ada;1;Tan espanyol/a com català/ana;Castellà;Català (valencià / balear);Classe treballadora mitjana;Sí, però no en fa ús;Dos;Entre 1.001 i 2.000 euros;Sí;Discapacitat total; ; ; ;-;No;Mai;Gens;Molt;Molt;Molt;Cap; ;No va poder votar;No va votar;No votaria; ;No va votar;No votaria; ;No va votar;No va votar
1;3;2021;5; ; ; ;935;813;Dona;44;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;TARRAGONA;De 10.001 a 50.000; ;Alt Camp;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania i una altra;Dona;36;De 35 a 49 anys;De 35 a 39 anys;Resta del món; ; ;Trucada a telèfon mòbil;No;"CONFI_POL_CAT + VAL_GOV_CAT després d’ INF_POL; CONFI_POL_ESP + VAL_GOV_ESP després de VAL_VIDA";ESP_0_10 + CAT_0_10;DEFINICIO_CAT + SIGNIFICA_ESP;Dolenta;Igual;Es quedarà igual;Bona;Igual;Molt dolenta;Pitjor;Es quedarà igual;Dolenta;Cap de les anteriors/una altra;Poc;Molt;Cap confiança;3;2;2;Sí;No;No;Sí;Sí;No;No;No;Poc satisfet/a;PPC;-;Centre;5;5;Una altra;L’Estat del qual soc ciutadà/ana;Una comunitat autònoma;-;Un nivell insuficient d'autonomia;Una comunitat autònoma d'Espanya;No;Bastant d'acord;Un deure;Congrés dels diputats (generals);5;No vaig votar perquè no podia (edat, malaltia...); ; ;-; ; ; ; ; ; ; ; ; ; ; ; ;8;10 Ho va tenir molt en compte;10 Ho va tenir molt en compte;2;10 Ho va tenir molt en compte;PPC;-;Estic segur que vaig votar;C's;-;PPC;-;Estic segur que vaig votar;C's;-;No coneix; ;Coneix;2;Coneix;2;Coneix;2;Coneix;5;Coneix;4;Coneix;5;No coneix; ;No coneix; ;Coneix;4;No coneix; ;No coneix; ;No coneix; ;No coneix; ; ;2007;Resta del món; ;Resta del món; ;Cap a Catalunya;Cap: Agnosticisme;-; ;No treballa;Treball domèstic no remunerat; ; ;Batxillerat, BUP, COU, Batxillerat superior, PREU;-;Casat/ada;1;Tan espanyol/a com català/ana;Castellà;Castellà;Classe mitjana;Sí, però no en fa ús;Tres;Entre 1.001 i 2.000 euros;No; ; ; ; ;-;No;Mai;Poc;Bastant;Bastant;Bastant;PPC; ;No va poder votar;No va votar;PPC;C's;C's;PPC;C's;C's;C's
1;4;2021;5; ; ; ;1137;697;Home;40;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;Més de 1.000.000;BARCELONA;Barcelonès;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Dona;26;De 25 a 34 anys;De 25 a 29 anys;Catalunya; ; ;Trucada a telèfon mòbil;No;"CONFI_POL_CAT + VAL_GOV_CAT després d’ INF_POL; CONFI_POL_ESP + VAL_GOV_ESP després de VAL_VIDA";ESP_0_10 + CAT_0_10;SIGNIFICA_ESP + DEFINICIO_CAT;Dolenta;Pitjor;Millorarà;Dolenta;Millor;Dolenta;Igual;Es quedarà igual;Dolenta;Sóc un/a català/ana que viu a Espanya;Gens;Poc;6;4;5;6;No;No;No;Sí;No;No;No;No;Poc satisfet/a;ERC;-;Esquerra;7;3;República;Una nació de la qual em sento membre;Una nació;-;Un nivell insuficient d'autonomia;Un estat dins una Espanya federal;No;Bastant d'acord;Un dret;Congrés dels diputats (generals);6;Estic segur que vaig votar;Ho tenia decidit fa força temps;ERC;-;Perquè es tractava d’un mal menor;No;No;No;Sí;No;No;Sí;No;No;No;No;7;4;4;3;4;ERC;-;Estic segur que vaig votar;ERC;-;ERC;-;Estic segur que vaig votar;PSC;-;No coneix; ;Coneix;0 Molt malament;Coneix;7;Coneix;8;Coneix;5;Coneix;5;Coneix;7;Coneix;6;No coneix; ;No coneix; ;No coneix; ;Coneix;7;Coneix;7;No coneix; ; ; ;Catalunya; ;Catalunya; ;Cap a Catalunya;Catolicisme;-;No, mai;Treballa; ;Assalariat/ada indefinit/ida;Sector privat;Cursos d'especialització professional, Postgrau, Màster (MIR, FIR...);-;Amb parella estable;0;Més català/ana que espanyol/a;Totes dues igual: català (valencià / balear) i castellà;Castellà;Classe treballadora mitjana;No;Dos;Entre 2.001 i 3.000 euros;No; ; ; ; ;-;No;Mai;Gens;Molt;Molt;Molt;ERC;ERC;ERC;ERC;ERC;ERC;ERC;ERC;PSC;PSC;PSC
1;5;2021;5; ; ; ;1230;614;Dona;43;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;De 50.001 a 150.000;SANT BOI DE LLOBREGAT;Baix Llobregat;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Dona;40;De 35 a 49 anys;De 40 a 44 anys;Catalunya; ; ;Trucada a telèfon mòbil;No;"CONFI_POL_CAT + VAL_GOV_CAT després d’ INF_POL; CONFI_POL_ESP + VAL_GOV_ESP després de VAL_VIDA";CAT_0_10 + ESP_0_10;SIGNIFICA_ESP + DEFINICIO_CAT;Dolenta;Igual;Millorarà;Molt dolenta;Igual;Dolenta;Pitjor;Millorarà;Molt dolenta;Sóc un/a català/ana que viu a Catalunya;Bastant;Bastant;5;6;4;5;No;Sí;No;Sí;No;No;No;No;Poc satisfet/a;ERC;-;Esquerra;9;1;República;Un Estat format per diverses nacionalitats o regions;Un país;-;Un nivell insuficient d'autonomia;Un estat dins una Espanya federal;Sí;Molt d'acord;Ambdós;Parlament de Catalunya (autonòmiques);8;Estic segur que vaig votar;Ho tenia decidit fa força temps;ERC;-;Amb convicció;No;No;No;Sí;No;No;No;No;No;No;No;9;9;8;6;9;ERC;-;Estic segur que vaig votar;ERC;-;ERC;-;Estic segur que vaig votar;ERC;-;Coneix;3;Coneix;7;Coneix;6;Coneix;8;Coneix;6;Coneix;4;Coneix;7;Coneix;5;No coneix; ;Coneix;0 Molt malament;No coneix; ;Coneix;5;Coneix;3;No coneix; ; ; ;Catalunya; ;Catalunya; ;Quatre;Catolicisme;-;No, mai;Treballa; ;Assalariat/ada indefinit/ida;Sector privat;Llicenciatura, Arquitectura, Enginyeria, Grau o equivalent (4 anys o mès);-;Casat/ada;2;Només català/ana;Català (valencià / balear);Català (valencià / balear);Classe mitjana;Sí i en fa ús;Quatre;No contesta;No; ; ; ; ;-;No;Mai;Gens;Molt;Molt;Molt;ERC;ERC;ERC;ERC;ERC;ERC;ERC;ERC;ERC;ERC;ERC
1;6;2021;5; ; ; ;2303;863;Dona;28;Universitari grau superior;Espanya; ;BARCELONA;De 150.001 a 1.000.000;SABADELL;Vallès Occidental;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Home;41;De 35 a 49 anys;De 40 a 44 anys;Catalunya; ; ;Trucada a telèfon mòbil;No;"CONFI_POL_ESP + VAL_GOV_ESP després de l’INF_POL; CONFI_POL_CAT + VAL_GOV_CAT després de VAL_VIDA";CAT_0_10 + ESP_0_10;DEFINICIO_CAT + SIGNIFICA_ESP;Dolenta;Pitjor;Es quedarà igual;Molt dolenta;Pitjor;Molt dolenta;Pitjor;Empitjorarà;Molt dolenta;Cap de les anteriors/una altra;Gens;No contesta;Cap confiança;0 Molt dolenta;Cap confiança;0 Molt dolenta;Sí;No;No;Sí;No;No;No;No;Gens satisfet/a;Cap;-;No ho sap;No contesta;No contesta;No contesta;No contesta;No contesta;Para él es un nombre;No ho sap;No ho sap;No ho sap;No ho sap;Un dret;Cap;0 Molt insatisfet/a;Estic segur que vaig votar;Ho tenia decidit fa força temps;Nul;-; ; ; ; ; ; ; ; ; ; ; ; ;No contesta;No contesta;No contesta;No contesta;No contesta;No votaria;-;No ho sap; ;-;Nul;-;No ho sap; ;-;Coneix;0 Molt malament;Coneix;0 Molt malament;No coneix; ;Coneix;0 Molt malament;No coneix; ;No coneix; ;Coneix;0 Molt malament;No coneix; ;No coneix; ;Coneix;0 Molt malament;Coneix;0 Molt malament;Coneix;0 Molt malament;Coneix;0 Molt malament;Coneix;0 Molt malament; ; ;Altres comunitats autònomes;Extremadura;Altres comunitats autònomes;Aragó;Cap a Catalunya;Cap: Agnosticisme;-; ;Treballa; ;Professional o treballador/a autònom/a (sense assalariats/ades);Sector públic (Administració pública+empreses públiques);No contesta;-;Solter/a;3;No contesta;Altres llengües o altres combinacions;Castellà;No contesta;Sí i en fa ús;Tres;No contesta;No; ; ; ; ;-;No;Sovint;Molt;Gens;Poc;Bastant;Cap;Nul;Nul;Nul;No votaria; ;No ho sap;Nul; ;No ho sap;No ho sap
1;7;2021;5; ; ; ;1101;616;Home;41;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;De 10.001 a 50.000; ;Maresme;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Dona;31;De 25 a 34 anys;De 30 a 34 anys;Catalunya; ; ;Trucada a telèfon mòbil;No;"CONFI_POL_ESP + VAL_GOV_ESP després de l’INF_POL; CONFI_POL_CAT + VAL_GOV_CAT després de VAL_VIDA";CAT_0_10 + ESP_0_10;DEFINICIO_CAT + SIGNIFICA_ESP;Dolenta;Pitjor;Millorarà;Molt dolenta;Millor;Dolenta;Pitjor;Es quedarà igual;Dolenta;Sóc un/a català/ana que viu a Catalunya;Poc;Bastant;5;4;3;5;Sí;No;Sí;Sí;Sí;No;No;No;Poc satisfet/a;ERC;-;Esquerra;8;2;República;Un Estat format per diverses nacionalitats o regions;Un país;-;Un nivell insuficient d'autonomia;Un estat dins una Espanya federal;Sí;Molt d'acord;Un dret;Generals i municipals;2;No contesta; ; ;-; ; ; ; ; ; ; ; ; ; ; ; ;7;7;9;4;5;ERC;-;Estic segur que vaig votar;ERC;-;ERC;-;Estic segur que vaig votar;PSC;-;No coneix; ;Coneix;7;Coneix;5;Coneix;8;Coneix;4;Coneix;2;Coneix;4;No coneix; ;Coneix;4;No coneix; ;Coneix;5;Coneix;4;No coneix; ;Coneix;4; ; ;Catalunya; ;Altres comunitats autònomes;Regió de Múrcia;Cap a Catalunya;Cap: Agnosticisme;-; ;Treballa; ;Assalariat/ada eventual o interí/ina;Sector públic (Administració pública+empreses públiques);Llicenciatura, Arquitectura, Enginyeria, Grau o equivalent (4 anys o mès);-;Solter/a;0;Més català/ana que espanyol/a;Castellà;Castellà;Classe mitjana;No;Dos;Entre 3.001 i 4.000 euros;No; ; ; ; ;-;No;Quasi mai;Gens;Bastant;Bastant;Molt;ERC; ;No contesta;No contesta;ERC;ERC;ERC;ERC;PSC;PSC;PSC
1;8;2021;5; ; ; ;1109;813;Dona;44;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;De 2.001 a 10.000; ;Maresme;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Dona;48;De 35 a 49 anys;De 45 a 49 anys;Catalunya; ; ;Trucada a telèfon fix;Sí;"CONFI_POL_ESP + VAL_GOV_ESP després de l’INF_POL; CONFI_POL_CAT + VAL_GOV_CAT després de VAL_VIDA";CAT_0_10 + ESP_0_10;DEFINICIO_CAT + SIGNIFICA_ESP;Dolenta;Pitjor;Millorarà;Dolenta;Igual;Molt dolenta;Pitjor;Es quedarà igual;Dolenta;Sóc un/a català/ana que viu a Espanya;Poc;Bastant;4;0 Molt dolenta;6;7;Sí;No;Sí;Sí;Sí;No;No;No;Bastant satisfet/a;PSC;-;Esquerra;6;6;República;L’Estat del qual soc ciutadà/ana;Una comunitat autònoma;-;Un nivell suficient d'autonomia;Una comunitat autònoma d'Espanya;No;En desacord;Un deure;Congrés dels diputats (generals);2;Estic segur que vaig votar;Ho vaig decidir el mateix dia de les eleccions;Catalunya en Comú Podem;-;Amb convicció;Sí;No;No;No;No;No;No;No;No;No;No;8;8;8;8;8;Catalunya en Comú Podem;-;Estic segur que vaig votar;PSC;-;PSC;-;Estic segur que vaig votar;PSC;-;No coneix; ;Coneix;0 Molt malament;Coneix;3;Coneix;5;Coneix;5;Coneix;8;Coneix;9;Coneix;9;No coneix; ;Coneix;4;No coneix; ;No coneix; ;No coneix; ;Coneix;4; ; ;Catalunya; ;Catalunya; ;Un;Catolicisme;-;No, mai;Està temporalment de baixa; ;Assalariat/ada indefinit/ida;Sector públic (Administració pública+empreses públiques);Llicenciatura, Arquitectura, Enginyeria, Grau o equivalent (4 anys o mès);-;Casat/ada;3;Tan espanyol/a com català/ana;Castellà;Castellà;Classe treballadora mitjana;Sí i en fa ús;Quatre;Entre 3.001 i 4.000 euros;No; ; ; ; ;-;No;Quasi mai;Poc;Bastant;Bastant;Bastant;PSC;Catalunya en Comú Podem;Catalunya en Comú Podem;Catalunya en Comú Podem;Catalunya en Comú Podem;PSC;PSC;PSC;PSC;PSC;PSC
1;9;2021;5; ; ; ;1420;840;Dona;61;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;Més de 1.000.000;BARCELONA;Barcelonès;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Dona;20;24 anys o menys;De 20 a 24 anys;Catalunya; ; ;Trucada a telèfon fix;No;"CONFI_POL_CAT + VAL_GOV_CAT després d’ INF_POL; CONFI_POL_ESP + VAL_GOV_ESP després de VAL_VIDA";CAT_0_10 + ESP_0_10;DEFINICIO_CAT + SIGNIFICA_ESP;Bona;Pitjor;Empitjorarà;Dolenta;Igual;Dolenta;Igual;Millorarà;Molt dolenta;Sóc un/a espanyol/a que viu a Espanya;Molt;Bastant;6;8;5;4;Sí;Sí;Sí;Sí;Sí;No;No;No;Poc satisfet/a;Catalunya en Comú Podem;-;Esquerra;6;6;República;Un Estat format per diverses nacionalitats o regions;Una regió;-;Un nivell insuficient d'autonomia;Un estat dins una Espanya federal;No;Molt d'acord;Un deure;Autonòmiques i generals;4;Estic segur que vaig votar;Ho vaig decidir durant la darrera campanya electoral;Catalunya en Comú Podem;-;Amb certs dubtes;No;No;No;Sí;No;No;No;No;No;No;No;6;7;7;8;7;Catalunya en Comú Podem;-;No vaig votar perquè no podia (edat, malaltia...); ;-;Catalunya en Comú Podem;-;Estic segur que vaig votar;Catalunya en Comú Podem;-;No coneix; ;Coneix;4;No coneix; ;Coneix;5;Coneix;3;Coneix;4;Coneix;5;Coneix;3;No coneix; ;No coneix; ;No coneix; ;Coneix;4;Coneix;4;Coneix;4; ; ;Catalunya; ;Catalunya; ;Un;Cap: Ateisme;-; ;No treballa;Estudiant; ; ;Cicle formatiu de grau superior, FP2, Mestratge industrial o equivalent;-;Solter/a;0;Tan espanyol/a com català/ana;Totes dues igual: català (valencià / balear) i castellà;Català (valencià / balear);Classe treballadora mitjana;Sí i en fa ús;Quatre;Entre 2.001 i 3.000 euros;No; ; ; ; ;-;No;Mai;Gens;Bastant;Bastant;Bastant;Catalunya en Comú Podem;Catalunya en Comú Podem;Catalunya en Comú Podem;Catalunya en Comú Podem;Catalunya en Comú Podem; ;No va votar;En Comú Podem;En Comú Podem;Catalunya en Comú Podem;En Comú Podem
1;10;2021;5; ; ; ;1375;840;Dona;61;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;De 150.001 a 1.000.000;BADALONA;Barcelonès;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Dona;55;De 50 a 64 anys;De 55 a 59 anys;Altres comunitats autònomes; ; ;Trucada a telèfon fix;No;"CONFI_POL_CAT + VAL_GOV_CAT després d’ INF_POL; CONFI_POL_ESP + VAL_GOV_ESP després de VAL_VIDA";ESP_0_10 + CAT_0_10;DEFINICIO_CAT + SIGNIFICA_ESP;Dolenta;Pitjor;Millorarà;Dolenta;Pitjor;Molt dolenta;Pitjor;Es quedarà igual;Molt dolenta;Sóc un/a espanyol/a que viu a Catalunya;Poc;Bastant;4;4;4;2;Sí;No;No;No;No;No;No;No;Bastant satisfet/a;Cap;-;Centre-esquerra;3;5;Monarquia;El meu país;Una comunitat autònoma;-;Un nivell suficient d'autonomia;Una comunitat autònoma d'Espanya;Sí;Bastant d'acord;Un dret;Congrés dels diputats (generals);3;Estic segur que vaig votar;Ho vaig decidir durant la darrera campanya electoral;PSC;-;Perquè es tractava d’un mal menor;Sí;No;No;No;No;No;No;No;No;No;No;5;4;2;4;2;PSC;-;Estic segur que vaig votar;C's;-;En blanc;-;Estic segur que vaig votar;C's;-;No coneix; ;Coneix;4;Coneix;5;Coneix;5;Coneix;5;Coneix;6;Coneix;6;Coneix;5;No coneix; ;Coneix;5;No coneix; ;Coneix;2;Coneix;5;Coneix;5;Extremadura;1967;Altres comunitats autònomes;Extremadura;Altres comunitats autònomes;Extremadura;Cap a Catalunya;Catolicisme;-;No, mai;Treballa; ;Professional o treballador/a autònom/a (sense assalariats/ades);Sector privat;Llicenciatura, Arquitectura, Enginyeria, Grau o equivalent (4 anys o mès);-;Amb parella estable;0;Tan espanyol/a com català/ana;Castellà;Castellà;Classe mitjana alta;Sí i en fa ús;Una;Entre 2.001 i 3.000 euros;No; ; ; ; ;-;No;Quasi mai;Gens;Molt;Bastant;Bastant;Cap;PSC;PSC;PSC;PSC;C's;C's;Altres, blanc;C's;C's;C's
